transaction_id,item_id,item_quantity,item_total_price,payment_type_id,location_type_id,transaction_date
TXN_1961373,2,2,4.0,2,2,2023-09-08
TXN_4977031,1,4,12.0,1,1,2023-05-16
TXN_4271903,3,4,4.0,2,1,2023-07-19
TXN_7034554,5,2,10.0,0,0,2023-04-27
TXN_3160411,2,2,4.0,3,1,2023-06-11
TXN_2602893,7,5,20.0,2,0,2023-03-31
TXN_4433211,0,3,9.0,0,2,2023-10-06
TXN_6699534,6,4,16.0,1,0,2023-10-28
TXN_4717867,0,5,15.0,0,2,2023-07-28
TXN_2064365,6,5,20.0,0,1,2023-12-31
TXN_2548360,5,5,25.0,1,2,2023-11-07
TXN_3051279,6,2,8.0,2,2,
TXN_7619095,6,2,8.0,1,1,2023-05-03
TXN_9437049,3,5,5.0,0,2,2023-06-01
TXN_8915701,8,2,3.0,0,1,2023-03-21
TXN_2847255,5,3,15.0,2,1,2023-11-15
TXN_3765707,6,1,4.0,0,0,2023-06-10
TXN_6769710,4,2,6.0,1,1,2023-02-24
TXN_8876618,1,5,15.0,1,0,2023-03-25
TXN_3709394,4,4,12.0,1,2,2023-01-15
TXN_3522028,7,5,20.0,1,1,2023-04-04
TXN_3567645,7,4,16.0,2,2,2023-03-30
TXN_5132361,6,3,12.0,3,2,2023-12-01
TXN_2616390,6,2,8.0,0,0,2023-09-18
TXN_9400181,6,5,20.0,1,1,2023-06-03
TXN_7958992,7,3,12.0,0,0,2023-12-13
TXN_5183041,3,5,5.0,2,1,2023-04-20
TXN_5695074,4,4,12.0,2,2,2023-04-10
TXN_8467949,7,5,20.0,2,0,2023-03-11
TXN_7640952,1,4,12.0,3,2,
TXN_1736287,2,5,10.0,3,0,2023-06-02
TXN_8927252,3,2,2.0,2,0,2023-11-06
TXN_9677376,7,4,16.0,0,1,2023-08-15
TXN_7710508,3,5,5.0,1,0,
TXN_8853997,7,2,8.0,3,2,2023-10-09
TXN_9130559,6,1,4.0,2,0,2023-05-28
TXN_6855453,0,4,12.0,0,1,2023-07-17
TXN_1080432,5,2,10.0,2,1,2023-04-29
TXN_2655815,7,4,16.0,0,2,2023-06-08
TXN_6688524,2,4,8.0,0,0,2023-06-29
TXN_2083138,7,3,12.0,0,1,2023-04-17
TXN_2427584,6,4,16.0,0,2,2023-12-22
TXN_6650263,8,2,3.0,0,2,2023-01-10
TXN_9620080,4,4,12.0,0,2,2023-10-02
TXN_1491578,3,2,2.0,0,0,2023-02-23
TXN_5455792,5,3,15.0,1,0,2023-03-22
TXN_8078640,4,4,12.0,3,1,2023-11-03
TXN_9499313,4,5,15.0,0,0,2023-03-02
TXN_8201146,4,5,15.0,1,0,2023-06-26
TXN_8230936,1,3,9.0,0,0,2023-05-02
TXN_7742742,1,5,15.0,0,2,2023-09-05
TXN_6342161,5,5,25.0,0,2,2023-01-08
TXN_8914892,5,5,25.0,3,0,2023-03-15
TXN_3363746,7,3,12.0,2,0,2023-11-25
TXN_8614868,7,5,20.0,3,2,2023-12-05
TXN_5522862,3,2,2.0,2,2,2023-03-19
TXN_3578141,1,5,15.0,0,2,2023-06-27
TXN_2080895,1,1,3.0,3,1,2023-04-19
TXN_6421134,6,4,16.0,1,2,2023-11-03
TXN_8813311,4,5,15.0,0,1,2023-10-07
TXN_9023317,5,1,5.0,0,0,2023-09-30
TXN_8051289,0,1,3.0,0,1,2023-10-09
TXN_2537617,6,1,4.0,1,0,2023-05-27
TXN_9099694,5,3,15.0,0,2,2023-11-18
TXN_9230615,7,4,16.0,3,0,2023-06-01
TXN_4987129,6,3,12.0,0,1,2023-10-20
